Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/03  19:00:00,2.575925686,0.043119174,0,0,0,0,0,0,0.744427561,0.160369476,0.398283704,0.626011142,0.600189802
 01/03  20:00:00,2.552725681,0.044507467,0,0,0,0,0,0,0.789349925,0.170046944,0.315345897,0.646166599,0.615172317
 01/03  21:00:00,2.347864411,0.046037574,0,0,0,0,0,0,0.680252812,0.146544516,0.275874928,0.668380946,0.560167209
 01/03  22:00:00,2.115273781,0.044962767,0,0,0,0,0,0,0.5711557,0.123042104,0.258342283,0.652776722,0.493312972
 01/03  23:00:00,1.696595905,0.038909513,0,0,0,0,0,0,0.429971094,0.092627195,0.205880856,0.564894597,0.386578164
 01/03  24:00:00,1.278700737,0.235578001,0,0.201766358,0,0.005232065,0.005232065,0.005232065,0.295204003,0.063594789,0.135920782,0.490882893,0.271222205
 01/04  01:00:00,0.860805654,0.640218864,0,0.612251486,0,0.015888675,0.015888675,0.015888675,0.154019476,0.033179897,0.086369242,0.406034923,0.14866944
 01/04  02:00:00,0.692564078,1.098696324,0,1.072945736,0,0.027885025,0.027885025,0.027885025,0.089844728,0.019354937,0.072238755,0.37385121,0.092745422
 01/04  03:00:00,0.636697007,1.387430417,0,1.361978386,0,0.035302876,0.035302876,0.035302876,0.064174796,0.013824955,0.059715255,0.369516703,0.077518421
 01/04  04:00:00,0.63242379,1.532906434,0,1.507812672,0,0.038951535,0.038951535,0.038951535,0.064174796,0.013824955,0.052611026,0.364315295,0.081902183
 01/04  05:00:00,0.672613702,1.491620324,0,1.467474483,0,0.037728051,0.037728051,0.037728051,0.064174796,0.013824955,0.063151709,0.350553236,0.126536955
 01/04  06:00:00,0.917759263,1.348019771,0,1.321074952,0,0.033950745,0.033950745,0.033950745,0.064174796,0.013824955,0.075981488,0.391189237,0.321994041
 01/04  07:00:00,1.495873141,1.24522422,0,1.214092131,0,0.031226929,0.031226929,0.031226929,0.147602041,0.031797395,0.129758031,0.451980695,0.686864051
